description_zh,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_total_dietary_g,sugars_g,fe_mg,na_mg,serving_size_g,description_en,source
吉利丁甜点,60.0,1.22,0.0,14.19,0.0,13.49,0.02,75.0,107.5,Gelatin dessert,fndd
吐司奶酪,448.0,11.45,22.89,49.26,2.3,2.29,2.74,824.0,22.0,"Bread, cheese, toasted",fndd
吐司面包,361.5,11.878333333333334,6.626666666666666,63.49,2.7666666666666666,8.766666666666666,2.3716666666666666,435.3333333333333,18.333333333333336,Zwieback toast,fndd
吐司面包洋葱,262.0,9.68,3.24,48.7,1.9,3.66,3.41,530.0,18.0,"Bread, onion, toasted",fndd
吐司面包肉桂,293.0,10.36,3.94,54.07,2.5,5.87,3.69,495.0,23.5,"Bread, cinnamon, toasted",fndd
吐司面包酸面团,299.0,11.81,2.66,57.01,2.4,5.08,4.3,662.0,22.0,"Bread, sour dough, toasted",fndd
味噌,198.0,12.79,6.01,25.37,5.4,6.2,2.49,3728.0,143.5,Miso,fndd
味噌汤或豆腐汤,24.0,2.21,0.85,2.3,0.6,0.77,0.47,467.0,245.0,"Soup, miso or tofu",fndd
味噌酱,429.0,3.43,41.0,13.99,1.2,12.79,0.67,1086.0,16.0,Miso sauce,fndd
咖啡,11.25,0.135,0.36,3.74,0.0,2.025,0.025,4.5,332.0,"Coffee, NS as to brewed or instant",fndd
咖啡味利口酒,336.0,0.1,0.3,46.8,0.0,38.3,0.06,8.0,45.0,"Liqueur, coffee flavored",fndd
咖啡奶精,136.0,1.0,9.97,11.38,0.0,11.38,0.03,67.0,25.0,"Coffee creamer, NFS",fndd
咖啡奶精粉,529.0,2.48,32.92,59.29,0.0,7.77,0.26,124.0,3.5,"Coffee creamer, powder",fndd
咖啡奶精粉，无糖，口味,529.0,2.48,32.92,59.29,0.0,7.77,0.26,124.0,3.5,"Coffee creamer,powder, sugar free, flavored",fndd
咖啡奶精，液体，脱脂，无糖，调味,71.0,0.8,3.5,9.1,0.0,9.1,0.56,60.0,15.0,"Coffee creamer, liquid, fat free, sugar free, flavored",fndd
咖啡奶精，液态，脱脂,71.0,0.8,3.5,9.1,0.0,9.1,0.56,60.0,20.0,"Coffee creamer, liquid, fat free",fndd
咖啡拿铁,43.0,2.81,1.61,4.35,0.0,4.06,0.02,35.0,360.0,"Coffee, Latte",fndd
咖啡拿铁低因脱脂,30.0,2.88,0.1,4.39,0.0,4.22,0.02,37.0,360.0,"Coffee, Latte, decaffeinated, nonfat",fndd
咖啡拿铁脱咖啡因无脂调味,42.0,2.79,0.1,7.54,0.0,7.38,0.02,35.0,372.0,"Coffee, Latte, decaffeinated, nonfat, flavored",fndd
咖啡拿铁脱咖啡因植物奶,28.0,0.97,1.37,2.82,0.1,1.7,0.29,45.0,360.0,"Coffee, Latte, decaffeinated, with non-dairy milk",fndd
咖啡拿铁脱脂,30.0,2.87,0.1,4.37,0.0,4.2,0.02,36.0,360.0,"Coffee, Latte, nonfat",fndd
咖啡拿铁，非 dairy 牛奶,28.0,0.97,1.36,2.81,0.1,1.69,0.29,44.0,360.0,"Coffee, Latte, with non-dairy milk",fndd
咖啡摩卡，速溶，预调亮色和低热量甜味剂预加糖，复原,15.0,0.32,0.43,2.46,0.2,1.14,0.11,20.0,240.0,"Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",fndd
咖啡摩卡，非 dairy 牛奶,50.0,0.88,1.24,8.76,0.1,7.08,0.26,54.0,372.0,"Coffee, Cafe Mocha, with non-dairy milk",fndd
咖啡替代品,6.0,0.1,0.04,1.3,0.4,0.08,0.08,5.0,240.0,Coffee substitute,fndd
咖啡液态植脂末，无糖，调味,71.0,0.8,3.5,9.1,0.0,9.1,0.56,60.0,20.0,"Coffee creamer, liquid, sugar free, flavored",fndd
咖啡液态植脂末，无脂肪，调味,154.0,0.6,2.7,31.72,0.0,31.78,0.43,45.0,20.0,"Coffee creamer, liquid, fat free, flavored",fndd
咖啡液态调味奶油,251.0,0.69,13.5,35.07,1.1,33.04,0.59,67.0,20.0,"Coffee creamer, liquid, flavored",fndd
咖啡蛋糕,384.0,6.345000000000001,17.42,51.095,1.9,29.165,1.915,311.5,61.0,"Coffee cake, crumb or quick-bread type",fndd
咖啡蛋糕，奶酪馅,365.0,6.8,17.55,45.07,1.2,22.86,1.93,291.0,65.0,"Coffee cake, crumb or quick-bread type, cheese-filled",fndd
咖啡，低热量甜味剂预加糖,5.0,0.1,0.0,1.13,0.0,0.45,0.04,4.0,240.0,"Coffee, pre-sweetened with low calorie sweetener",fndd
咖啡，冰卡布奇诺摩卡，非乳制奶,42.0,0.55,0.78,8.07,0.0,6.65,0.17,41.0,372.0,"Coffee, Iced Cafe Mocha, with non-dairy milk",fndd
咖啡，冰拿铁，脱咖啡因,27.0,1.75,1.01,2.82,0.0,2.53,0.02,23.0,360.0,"Coffee, Iced Latte, decaffeinated",fndd
咖啡，冰拿铁，脱咖啡因，含植物奶,18.0,0.61,0.86,1.86,0.1,1.05,0.19,30.0,360.0,"Coffee, Iced Latte, decaffeinated, with non-dairy milk",fndd
咖啡，冰拿铁，脱因，含植物奶，调味,31.0,0.59,0.84,5.18,0.1,4.41,0.18,29.0,372.0,"Coffee, Iced Latte, decaffeinated, with non-dairy milk, flavored",fndd
咖啡，冰拿铁，脱因，脱脂,19.0,1.79,0.07,2.83,0.0,2.61,0.02,25.0,360.0,"Coffee, Iced Latte, decaffeinated, nonfat",fndd
咖啡，冰拿铁，脱因，脱脂，调味,32.0,1.73,0.08,6.13,0.0,5.92,0.02,24.0,372.0,"Coffee, Iced Latte, decaffeinated, nonfat, flavored",fndd
咖啡，冰拿铁，脱因，调味,40.0,1.69,0.99,6.12,0.0,5.84,0.02,23.0,372.0,"Coffee, Iced Latte, decaffeinated, flavored",fndd
咖啡，冰拿铁，脱脂,19.0,1.78,0.07,2.82,0.0,2.6,0.02,24.0,360.0,"Coffee, Iced Latte, nonfat",fndd
咖啡，冰拿铁，脱脂，风味,32.0,1.72,0.08,6.1,0.0,5.89,0.02,24.0,372.0,"Coffee, Iced Latte, nonfat, flavored",fndd
咖啡，冰拿铁，非乳制奶,24.0,1.36,0.79,2.83,0.1,1.88,0.24,28.0,360.0,"Coffee, Iced Latte, with non-dairy milk",fndd
咖啡，冰拿铁，非乳制奶，调味,31.0,0.59,0.84,5.16,0.0,4.39,0.18,28.0,372.0,"Coffee, Iced Latte, with non-dairy milk, flavored",fndd
咖啡，冰摩卡咖啡，脱咖啡因，含植物奶,42.0,0.55,0.78,8.1,0.0,6.69,0.17,41.0,372.0,"Coffee, Iced Cafe Mocha, decaffeinated, with non-dairy milk",fndd
咖啡，冰摩卡咖啡，脱因,51.0,1.59,0.92,8.99,0.0,8.03,0.02,36.0,372.0,"Coffee, Iced Cafe Mocha, decaffeinated",fndd
咖啡，冰摩卡咖啡，脱因，脱脂,43.0,1.62,0.06,9.0,0.0,8.11,0.02,37.0,372.0,"Coffee, Iced Cafe Mocha, decaffeinated, nonfat",fndd
咖啡，冰摩卡，脱脂,43.0,1.61,0.07,8.96,0.0,8.07,0.02,36.0,372.0,"Coffee, Iced Cafe Mocha, nonfat",fndd
咖啡，冲泡,1.0,0.12,0.02,0.0,0.0,0.0,0.01,2.0,420.0,"Coffee, brewed",fndd
咖啡，冲泡，调味,1.0,0.12,0.02,0.0,0.0,0.0,0.01,2.0,420.0,"Coffee, brewed, flavored",fndd
咖啡，加奶咖啡,40.0,1.67,1.13,5.63,0.0,4.83,0.06,26.0,248.0,"Coffee, cafe con leche",fndd
咖啡，卡布奇诺，脱咖啡因,27.0,1.72,0.99,2.76,0.0,2.48,0.02,23.0,360.0,"Coffee, Cappuccino, decaffeinated",fndd
咖啡，卡布奇诺，脱因，脱脂,19.0,1.75,0.07,2.77,0.0,2.56,0.02,24.0,360.0,"Coffee, Cappuccino, decaffeinated, nonfat",fndd
咖啡，卡布奇诺，脱因，非乳制奶,17.0,0.6,0.85,1.83,0.1,1.04,0.18,29.0,360.0,"Coffee, Cappuccino, decaffeinated, with non-dairy milk",fndd
咖啡，卡布奇诺，脱脂,19.0,1.75,0.07,2.76,0.0,2.54,0.02,24.0,360.0,"Coffee, Cappuccino, nonfat",fndd
咖啡，卡布奇诺，非奶制奶,17.0,0.6,0.84,1.82,0.1,1.03,0.18,29.0,360.0,"Coffee, Cappuccino, with non-dairy milk",fndd
咖啡，咖啡摩卡，脱咖啡因，非乳制奶,50.0,0.88,1.24,8.8,0.1,7.12,0.26,54.0,372.0,"Coffee, Cafe Mocha, decaffeinated, with non-dairy milk",fndd
咖啡，咖啡摩卡，脱脂,52.0,2.6,0.09,10.2,0.0,9.37,0.02,47.0,372.0,"Coffee, Cafe Mocha, nonfat",fndd
咖啡，咖啡牛奶，脱咖啡因咖啡,40.0,1.69,1.15,5.7,0.0,4.91,0.06,26.0,248.0,"Coffee, cafe con leche, decaffeinated",fndd
咖啡，拿铁，脱咖啡因，调味,55.0,2.73,1.57,7.53,0.0,7.26,0.02,34.0,372.0,"Coffee, Latte, decaffeinated, flavored",fndd
咖啡，拿铁，脱咖啡因，非乳制奶，调味,40.0,0.94,1.33,6.01,0.1,4.94,0.28,43.0,372.0,"Coffee, Latte, decaffeinated, with non-dairy milk, flavored",fndd
咖啡，拿铁，脱因,43.0,2.82,1.62,4.37,0.0,4.09,0.02,35.0,360.0,"Coffee, Latte, decaffeinated",fndd
咖啡，拿铁，脱脂，调味,42.0,2.78,0.1,7.51,0.0,7.35,0.02,35.0,372.0,"Coffee, Latte, nonfat, flavored",fndd
咖啡，拿铁，非乳制奶，调味,40.0,0.94,1.33,5.99,0.1,4.91,0.28,43.0,372.0,"Coffee, Latte, with non-dairy milk, flavored",fndd
咖啡，拿铁，风味,55.0,2.72,1.57,7.49,0.0,7.22,0.02,34.0,372.0,"Coffee, Latte, flavored",fndd
咖啡，摩卡咖啡,64.0,2.56,1.47,10.22,0.0,9.3,0.02,46.0,372.0,"Coffee, Cafe Mocha",fndd
咖啡，摩卡咖啡，脱咖啡因,64.0,2.56,1.47,10.23,0.0,9.3,0.02,46.0,372.0,"Coffee, Cafe Mocha, decaffeinated",fndd
咖啡，无咖啡因,0.0,0.1,0.0,0.0,0.0,0.0,0.05,2.0,420.0,"Coffee, NS as to brewed or instant, decaffeinated",fndd
咖啡，无咖啡因冲泡,0.0,0.1,0.0,0.0,0.0,0.0,0.05,2.0,420.0,"Coffee, brewed, decaffeinated",fndd
咖啡，无咖啡因，用低热量甜味剂预加糖,5.0,0.1,0.0,1.14,0.0,0.45,0.03,4.0,240.0,"Coffee, decaffeinated, pre-sweetened with low calorie sweetener",fndd
咖啡，浓缩咖啡,9.0,0.12,0.18,1.67,0.0,0.0,0.13,14.0,60.0,"Coffee, espresso",fndd
咖啡，浓缩，脱因,9.0,0.1,0.18,1.69,0.0,0.0,0.13,14.0,60.0,"Coffee, espresso, decaffeinated",fndd
咖啡，混合常规和脱咖啡因的,0.0,0.11,0.01,0.0,0.0,0.0,0.03,2.0,420.0,"Coffee, brewed, blend of regular and decaffeinated",fndd
咖啡，玛奇朵,23.0,1.18,0.83,2.71,0.0,1.61,0.09,22.0,60.0,"Coffee, macchiato",fndd
咖啡，玛奇朵，甜味,40.0,1.13,0.8,6.89,0.0,5.84,0.09,21.0,62.0,"Coffee, macchiato, sweetened",fndd
咖啡，脱咖啡因，预先淡化并预先加糖,27.0,0.14,0.69,5.11,0.0,3.45,0.04,7.0,248.0,"Coffee, decaffeinated, pre-lightened and pre-sweetened with sugar",fndd
咖啡，脱咖啡因，预加糖,16.0,0.09,0.01,3.97,0.0,3.36,0.03,4.0,248.0,"Coffee, decaffeinated, pre-sweetened with sugar",fndd
咖啡，脱咖啡因，预调亮和预加低热量甜味剂,16.0,0.15,0.7,2.38,0.0,0.6,0.04,7.0,240.0,"Coffee, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener",fndd
咖啡，脱因，预减咖啡因,14.0,0.15,0.71,1.89,0.0,0.17,0.04,7.0,240.0,"Coffee, decaffeinated, pre-lightened",fndd
咖啡，预烘焙,14.0,0.15,0.71,1.88,0.0,0.17,0.04,7.0,240.0,"Coffee, pre-lightened",fndd
咖喱蔬菜配料,53.0,1.81,0.2,11.71,2.2,3.2,0.56,20.0,0.0,Vegetables as ingredient in curry,fndd
咖喱酱,95.0,1.39,8.22,5.03,1.4,3.37,0.89,383.0,24.0,Curry sauce,fndd
咖喱鸡,107.0,6.48,6.48,6.54,1.4,2.56,0.71,376.0,240.0,Chicken curry,fndd
咖喱鸡饭,116.0,4.96,4.0,15.12,1.0,1.56,0.9,324.0,200.0,Chicken curry with rice,fndd
咸味奶酪饼干,503.0,10.1,25.3,58.2,2.4,0.28,4.77,458.0,31.5,"Crackers, cheese, reduced sodium",fndd
咸味薄脆马苏拉面包,395.0,10.0,1.4,83.7,3.0,0.29,3.16,0.0,21.5,"Crackers, matzo, reduced sodium",fndd
咸牛肉三明治（全麦面包），带奶酪,273.0,15.55,13.86,20.86,2.4,2.71,2.21,745.0,135.0,"Corned beef sandwich on wheat, with cheese",fndd
咸蛋三明治饼干上带培根,309.0,11.88,19.23,21.8,1.2,2.0,2.09,774.0,140.0,"Egg sandwich on biscuit, with bacon",fndd
哈密瓜,37.0,0.6799999999999999,0.181,8.625,0.8,8.0,0.359,28.8,126.16666666666669,"Cantaloupe, Beaumont , TX, NF0009UF, Outlet23",foundation
哈密瓜（未经烹饪）,34.0,0.82,0.18,8.16,0.8,0.0,0.38,30.0,156.0,"Melons, cantaloupe, raw",foundation
哈密瓜，Region 2，冻干- 胡萝卜素 - NFY0103VP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cantaloupe,  Region 2, Freeze Dried- Carotenoids - NFY0103VP",foundation
哈密瓜，区域3，冻干-类胡萝卜素 - NFY0103VW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cantaloupe,  Region 3, Freeze Dried- Carotenoids - NFY0103VW",foundation
哈密瓜，区域4，冻干-类胡萝卜素 - NFY0103W3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cantaloupe,  Region 4, Freeze Dried- Carotenoids - NFY0103W3",foundation
哈密瓜，地区1，冻干-类胡萝卜素 - NFY0103VI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cantaloupe,  Region 1, Freeze Dried- Carotenoids - NFY0103VI",foundation
哈密瓜，地区3，维生素K -- NF009HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cantaloupe, Region 3, vitamin K -- NF009HU",foundation
哈密瓜，鲜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cantaloupe, fresh, Region 1, NF00098Q - Vitamin E (Composite C0009G)",foundation
商业鹰嘴豆泥,229.0,7.35,17.1,14.9,5.4,0.0,2.41,438.0,33.9,"Hummus, commercial",foundation
啤酒,43.0,0.46,0.0,3.55,0.0,0.0,0.02,4.0,360.0,Beer,fndd
啤酒饮料,58.0,0.9,0.0,0.27,0.0,0.0,0.03,4.0,360.0,Alcoholic malt beverage,fndd
啤酒，淡味,29.0,0.24,0.0,1.64,0.0,0.09,0.03,4.0,360.0,"Beer, light",fndd
啤酒，高酒精,58.0,0.9,0.0,0.27,0.0,0.0,0.03,4.0,360.0,"Beer, higher alcohol",fndd
四季豆沙拉,109.0,3.52,5.0,13.0,3.4,3.48,1.32,266.0,112.5,"Bean salad, yellow and/or green string beans",fndd
四川炒四季豆,106.0,2.54,6.96,8.37,3.0,2.25,0.84,226.0,93.0,"Green beans, cooked, Szechuan-style",fndd
图林根香肠,362.0,17.45,30.43,3.33,0.0,0.85,2.04,1300.0,23.0,Thuringer,fndd
土拨鼠,159.0,28.08,4.34,0.0,0.0,0.0,1.11,367.0,110.0,Groundhog,fndd
土耳其咖啡,27.0,0.11,0.04,6.47,0.0,6.48,0.01,2.0,248.0,"Coffee, Turkish",fndd
土耳其火鸡三明治（全麦）,187.0,13.05,3.88,24.56,2.8,3.13,1.83,619.0,115.0,Turkey sandwich on wheat,fndd
土豆,130.5,2.1550000000000002,5.29,18.825,1.2,1.3050000000000002,0.585,222.5,174.0,"Gnocchi, potato",fndd
土豆汤,90.0,1.51,4.71,10.53,1.2,1.01,0.34,240.0,347.5,"Soup, potato",fndd
土豆沙拉,178.0,1.73,11.45,17.32,1.3,1.9,0.34,361.0,206.5,"Potato salad, from restaurant",fndd
土豆沙拉配鸡蛋，意大利轻酱口味,94.0,2.79,2.35,15.49,1.3,2.2,0.4,200.0,206.5,"Potato salad with egg, made with light Italian dressing",fndd
土豆沙拉（使用任何类型无脂调味酱）,81.0,1.38,0.58,17.94,1.8,2.9,0.28,215.0,206.5,"Potato salad, made with any type of fat free dressing",fndd
土豆沙拉，奶油调味,140.0,1.59,7.53,16.8,1.5,1.6,0.3,197.0,206.5,"Potato salad, made with creamy dressing",fndd
土豆沙拉，用蛋黄酱类沙拉酱制作,107.0,1.46,3.49,17.86,1.5,2.75,0.28,186.0,206.5,"Potato salad, made with mayonnaise-type salad dressing",fndd
土豆沙拉，用轻盈蛋黄酱类沙拉酱制作,105.0,1.41,3.65,16.98,1.5,1.75,0.29,215.0,206.5,"Potato salad, made with light mayonnaise-type salad dressing",fndd
土豆沙拉，轻盈奶油调味,95.0,1.62,2.47,16.95,1.5,1.78,0.27,203.0,206.5,"Potato salad, made with light creamy dressing",fndd
土豆沙拉，配蛋黄酱,168.0,1.51,11.14,15.81,1.5,1.29,0.3,179.0,206.5,"Potato salad, made with mayonnaise",fndd
土豆沙拉，配轻盈蛋黄酱,105.0,1.41,3.65,16.98,1.5,1.75,0.29,215.0,206.5,"Potato salad, made with light mayonnaise",fndd
土豆泥快餐版,89.0,1.65,2.82,14.65,1.3,0.5,0.31,306.0,187.5,"Potato, mashed, from fast food",fndd
土豆泥烤菜,206.0,6.66,14.34,12.99,0.7,1.96,0.33,408.0,187.5,"Potato, scalloped, from fast food or restaurant",fndd
土豆泥配牛奶和肉汁,100.0,1.86,3.78,15.14,1.0,1.77,0.24,246.0,147.0,"Potato, mashed, from fresh, made with milk, with gravy",fndd
土豆泥配肉汁（快餐）,81.0,1.46,2.78,12.78,1.1,0.46,0.27,323.0,187.5,"Potato, mashed, from fast food, with gravy",fndd
土豆泥（即食型）,106.0,1.97,5.01,13.29,1.9,1.76,0.27,298.0,187.5,"Potato, mashed, ready-to-heat",fndd
土豆泥（含奶酪）,138.0,4.26,8.12,12.13,1.7,1.61,0.26,336.0,187.5,"Potato, mashed, ready-to-heat, with cheese",fndd
土豆泥（学校午餐）,77.0,2.14,1.89,13.2,1.0,1.85,0.18,201.0,187.5,"Potato, mashed, from school lunch",fndd
土豆泥（带肉汁）,107.0,1.76,5.415,13.085,1.2,1.585,0.235,344.5,187.5,"Potato, mashed, from restaurant, with gravy",fndd
土豆泥（干混，加牛奶，含奶酪）,148.0,4.32,9.62,11.54,0.8,1.46,0.18,295.0,187.5,"Potato, mashed, from dry mix, made with milk, with cheese",fndd
土豆泥（新鲜制）,114.0,2.15,4.07,17.6,1.2,2.13,0.28,210.0,147.0,"Potato, mashed, from fresh, NFS",fndd
土豆泥（用干粉，加牛奶，带肉汁）,103.0,1.78,5.88,11.16,0.8,1.34,0.17,280.0,187.5,"Potato, mashed, from dry mix, made with milk, with gravy",fndd
土豆泥（用牛奶制作）,114.0,2.15,4.07,17.6,1.2,2.13,0.28,210.0,187.5,"Potato, mashed, from fresh, made with milk",fndd
土豆泥（餐厅）,138.0,2.07,7.22,16.77,1.1,2.05,0.27,370.0,187.5,"Potato, mashed, from restaurant",fndd
土豆泥，即食，NFS,106.0,1.97,5.01,13.29,1.9,1.76,0.27,298.0,187.5,"Potato, mashed, ready-to-heat, NFS",fndd
土豆洋葱炒鸡蛋,172.0,10.41,13.18,2.97,0.3,0.47,1.47,218.0,135.0,"Egg omelet or scrambled egg, with potatoes and/or onions, fat added",fndd
土豆炖牛肉,220.0,14.57,14.85,6.53,1.0,0.93,1.74,572.0,185.5,"Beef stew with potatoes, Puerto Rican style",fndd
土豆炖鸡腿,186.0,22.54,10.64,0.0,0.0,0.0,0.93,417.0,65.0,"Chicken drumstick, stewed, skin eaten",fndd
土豆煎饼,196.0,4.47,10.8,20.64,2.2,1.11,1.3,402.0,57.5,Potato pancake,fndd
土豆皮（无配料）,151.0,2.12,7.45,19.53,1.8,1.25,0.77,363.0,42.5,Potato skins without topping,fndd
土豆粉,0.0,8.1125,0.9513,79.9422,6.2,0.0,1.49,18.9,0.0,"Flour, potato",foundation
土豆肉汤,109.0,3.78,6.43,8.81,1.0,0.95,0.48,246.0,347.5,"Soup, potato with meat",fndd
土豆饼,256.25,8.41,15.254999999999999,21.650000000000002,1.2000000000000002,0.9450000000000001,1.7125,380.25,91.5,"Hash, NS as to type of meat",fndd
土豆饼（干混料制作）,217.0,2.62,11.48,28.23,3.2,0.27,0.54,398.0,120.0,"Potato, hash brown, from dry mix",fndd
土豆饼，加芝士,223.0,5.1,15.49,16.18,1.4,1.12,0.57,389.0,120.0,"Potato, hash brown, from fresh, with cheese",fndd
土豆鸡蛋饼,172.0,10.41,13.18,2.97,0.3,0.47,1.47,218.0,135.0,"Egg omelet or scrambled egg, with potatoes and/or onions, NS as to fat",fndd
土豆（赤褐色，去皮，生）,0.0,2.27375,0.36,17.77125,0.0,0.0,0.3835,2.743,0.0,"Potatoes, russet, without skin, raw",foundation
土豆，煮，带皮食用,126.0,2.39,4.28,20.08,2.1,1.13,1.03,170.0,160.0,"Potato, boiled, from fresh, peel eaten, NS as to fat",fndd
土豆，熟，作为配料,81.0,2.13,0.3,17.36,2.2,0.64,0.4,3.0,0.0,"Potato, cooked, as ingredient",fndd
地瓜条,192.0,2.27,9.39,37.45,6.0,13.58,0.81,154.0,60.0,"Sweet potato fries, NFS",fndd
地瓜条，冷冻,192.0,2.27,9.39,37.45,6.0,13.58,0.81,154.0,60.0,"Sweet potato fries, frozen",fndd
地瓜泥,305.0,0.49,0.34,75.14,0.9,71.75,0.16,1.0,20.0,Sweet potato paste,fndd
地瓜派,269.0,4.96,9.75,41.08,1.3,25.16,1.06,269.0,150.0,"Pie, sweet potato",fndd
地瓜球,192.0,2.27,9.39,37.45,6.0,13.58,0.81,154.0,65.0,"Sweet potato tots, school",fndd
坚果,610.0,19.59,53.82,20.9,7.4,4.53,2.76,313.0,39.0,"Nuts, NFS",fndd
坚果水果干混合零食,454.0,10.9,26.83,51.06,6.4,36.48,2.13,134.0,50.0,Trail mix with nuts and fruit,fndd
坚果混合干果零食,604.0,20.06,52.98,21.07,7.9,4.1,3.18,252.0,50.0,Trail mix with nuts,fndd
坚果糖浆浇头,448.0,4.5,22.0,58.08,2.3,36.72,1.05,42.0,40.0,"Topping, nuts and syrup",fndd
坚果谷物棒,487.0,9.14,22.86,61.14,2.9,33.14,1.44,414.0,35.0,Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar),fndd
坚果谷物棒巧克力涂层,536.0,9.6,31.2,54.1,3.8,23.63,1.45,193.0,35.0,"Cereal or granola bar with nuts, chocolate coated",fndd
坚果面包,403.0,6.59,20.1,49.66,1.2,26.01,2.31,336.0,49.0,"Bread, nut",fndd
埃塞俄比亚面包,93.0,2.55,0.68,19.39,2.8,1.03,0.98,226.0,97.5,"Injera, Ethiopian bread",fndd
培根,422.25,30.5175,33.44,2.575,0.0,1.57,1.0475,1609.1666666666665,9.6,APPLEBEES -  BACON,foundation
培根三明治用,494.0,39.36,36.19,2.01,0.0,2.45,1.21,1798.0,16.0,"Bacon, for use on a sandwich",fndd
培根或边肉，新鲜，煮熟,468.0,33.92,35.09,1.7,0.0,0.0,0.95,1684.0,8.0,"Bacon or side pork, fresh, cooked",fndd
培根火鸡布拉沃三明治,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PANERA BACON TURKEY BRAVO,foundation
培根煎蛋,252.0,20.81,17.87,1.61,0.0,0.9,1.14,1102.0,0.0,Breakfast meat as ingredient in omelet,fndd
培根生菜番茄三明治,230.0,11.455,7.65,28.62,2.55,3.63,2.09,518.0,105.0,"Bacon, lettuce, tomato sandwich on wheat",fndd
培根番茄酱,326.0,1.8,35.0,2.0,0.2,2.0,0.27,905.0,30.0,Bacon and tomato dressing,fndd
培根碎,476.0,32.0,25.9,28.6,10.2,0.0,0.72,1770.0,5.5,Bacon bits,fndd
培根肉，煮熟,484.0,37.41,35.8,1.9,0.0,1.57,1.12,1757.0,10.0,"Pork bacon, NS as to fresh, smoked or cured, cooked",fndd
培根芝士鸡肉或火鸡肉花园沙拉,106.0,10.95,5.61,3.0,0.9,1.09,0.37,228.0,321.0,"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",fndd
培根饼干三明治,382.0,13.71,23.2,29.26,1.6,3.09,2.03,1090.0,105.0,Bacon biscuit sandwich,fndd
培根鸡蛋卷,260.0,12.12,14.84,19.09,1.3,1.66,2.22,534.0,190.0,"Egg burrito, with bacon",fndd
培根，熟制,0.0,0.0,35.825,0.0,0.0,0.0,1.1975,1882.5,8.45,"Bacon, cooked",foundation
基辅鸡排,280.0,21.31,19.21,5.45,0.1,0.06,0.66,644.0,258.0,Chicken kiev,fndd
塔博勒沙拉,127.0,1.64,9.66,9.65,1.8,1.34,0.74,495.0,120.0,Tabbouleh,fndd
塔可或玉米片沙拉配肉和酸奶油,181.0,6.91,10.4,15.12,2.5,2.0,1.59,286.0,311.0,Taco or tostada salad with meat and sour cream,fndd
塔可酱,11.0,1.16,0.68,0.72,0.5,0.12,1.04,570.0,12.5,Taco sauce,fndd
塔塔酱,211.0,1.0,16.7,13.3,0.5,4.25,0.25,667.0,21.0,Tartar sauce,fndd
填充甜椒，含米饭和肉馅,178.0,7.83,11.66,9.93,0.7,2.22,0.93,320.0,149.0,"Stuffed pepper, with rice and meat",fndd
填充番茄，含米饭，素食版,77.0,1.59,2.15,13.05,1.1,2.27,0.6,123.0,149.0,"Stuffed tomato, with rice, meatless",fndd
墨西哥卷或玉米片沙拉，无肉酸奶油口味,167.0,5.0,8.7,17.56,3.3,2.04,1.58,241.0,310.0,"Taco or tostada salad, meatless with sour cream",fndd
墨西哥卷碗,145.0,13.03,5.44,10.58,1.0,0.22,0.93,311.0,270.0,"Burrito bowl, NFS",fndd
墨西哥卷碗鸡豆,135.0,13.6,5.87,6.94,1.8,0.34,0.98,345.0,270.0,"Burrito bowl, chicken, with beans",fndd
墨西哥卷碗鸡饭,155.0,12.46,5.0,14.21,0.2,0.09,0.87,277.0,270.0,"Burrito bowl, chicken, with rice",fndd
墨西哥卷碗，牛肉或猪肉,213.0,19.97,14.21,0.27,0.0,0.09,1.67,297.0,225.0,"Burrito bowl, beef or pork",fndd
墨西哥卷碗，配豆子,129.0,8.04,3.42,17.3,5.7,0.46,1.63,296.0,225.0,"Burrito bowl, with beans",fndd
墨西哥卷酱，红味,30.0,0.62,0.91,4.87,0.5,1.83,0.67,547.0,24.0,"Enchilada sauce, red",fndd
墨西哥卷饼,198.5,10.575,8.78,19.255000000000003,2.4,1.235,1.62,472.5,185.0,"Burrito, NFS",fndd
墨西哥卷饼奶酪味,328.0,13.69,16.53,30.59,2.1,2.56,2.2,704.0,150.0,"Burrito, cheese only",fndd
墨西哥卷饼猪肉奶酪,268.0,12.89,11.02,28.33,2.0,2.16,2.58,451.0,190.0,"Burrito, pork, cheese",fndd
墨西哥卷饼碗，鸡肉，配豆子和米饭,145.0,13.03,5.44,10.58,1.0,0.22,0.93,311.0,315.0,"Burrito bowl, chicken, with beans and rice",fndd
